Titlu,Descriere,Categorie
"SACI 2019, o manifestare de anvergură internațională la UPT","În perioada 29-31 mai 2019, la Facultatea de Automatică și Calculatoare din cadrul UPT, va avea loc cea de-a XIII-a ediție a simpozionului internațional SACI 2019 (Symposium on Applied Computational Intelligence), http://conf.uni-obuda.hu/saci2019/, un eveniment de anvergură organizat în comun de Universitatea Politehnica Timisoara și Obuda University, Budapesta, Ungaria. Deschiderea festivă va avea loc miercuri, 29 [...]",EVENIMENT
"Prof.dr.ing. Aurel Câmpeanu, Profesor Onorific al UPT","Departamentul de Inginerie Electrică din cadrul Facultății de Electrotehnică și Electroenergetică a Universității Politehnica Timișoara a organizat joi, 23 mai 2019, în Sala Polivalentă a Bibliotecii Centrale a UPT, ceremonia acordării titlului academic de Profesor Onorific domnului prof.dr.ing. Aurel Câmpeanu. Absolvent al Facultății de Electrotehnică din Craiova, promoția 1958, lucrează o scurtă perioadă la uzina [...]",EVENIMENT
"Prof.dr.ing. Vladimir Katic, Profesor Onorific al UPT","Departamentul Bazele Fizice ale Ingineriei al Universității Politehnica Timișoara organizează vineri, 24 mai 2019, în Sala Mare a Senatului, începând cu ora 13:00, ceremonia decernării titlului academic de Profesor Onorific domnului prof.dr.ing. Vladimir Katic de la Universitatea din Novi Sad, Serbia. Domnul Profesor Vladimir KATIC este o personalitate recunoscută în domeniul electronicii de putere aplicată [...]",EVENIMENT
Proiecte de mobilitate pentru cercetători,"UEFISCDI a lansat, în cadrul Programului 1 – Dezvoltarea sistemului national de cercetare-dezvoltare, următoarele trei competiţii: Proiecte de mobilitate pentru cercetători Scopul &#8211; dezvoltarea resursei umane din sistemul național de cercetare-dezvoltare și creșterea vizibilității cercetării românești, prin publicarea şi prezentarea la conferințe internaționale de prestigiu a celor mai semnificative rezultate, prin efectuarea de stagii de [...]",ALTE ANUNȚURI
UPT promovează ia românească în Italia,"Cu ocazia Zilei Internaționale a Iei &#8211; 24 iunie &#8211; Facultatea de Arhitectură și Urbanism a Universității Politehnica Timișoara este parteneră a Institutului Român de Cultură și Cercetare Umanistică de la Veneția, unde împreună cu Asociația AlternativED organizează evenimentului „Portul tradițional românesc”, dedicat copiilor români cu vârsta între 6-12 ani din Italia, regiunea Veneto. Cu [...]",EVENIMENT
Teză de abilitare,"Luni, 24 Iunie 2019, începând cu ora 13:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Contributions to development of optical design in mechatronic applications“, elaborată de conf.dr.ing. Corina – Mihaela Gruescu. Manifestarea va avea loc la Facultatea de Mecanică a Universității Politehnica Timișoara, Amfiteatrul 150, Bv. Mihai Viteazu nr. 1.",DIDACTIC
Teză de abilitare,"Marți, 18 iunie 2019, începând cu ora 10:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Contribuții cu privire la utilizarea energiilor hibride din surse regenerabile în construcții și la reabilitarea sistemelor de alimentare cu apă “, elaborată de conf.dr.ing. Ioan Așchilean. Manifestarea va avea loc la Biblioteca Centrală a UPT, Amfiteatrul [...]",DIDACTIC
Simpozion Științific Studențesc al Facultății de Chimie Industrială și Ingineria Mediului,"Facultatea de Chimie Industrială și Ingineria Mediului împreună cu Liga Studenților Chimiști din Timișoara organizează în data de 14 iunie 2019 „Simpozionul Științific Studențesc al Facultății de Chimie Industrială și Ingineria Mediului”. Manifestarea se adresează studenților de la toate ciclurile de studii universitare (licență, master și doctorat), oferindu-le acestora posibilitatea de a-și prezenta activitatea de cercetare [...]",EVENIMENT
Ateliere de limba japoneză la Biblioteca UPT,"În ultimii doi ani, Biblioteca Centrală a Universității Politehnica Timișoara a găzduit o suită de evenimente culturale organizate în colaborare cu Ambasada Japoniei în România. După primele cursuri de limba japoneză, susținute de fostul ambasador al Japoniei în România, Kanji Tsushima, care s-au bucurat de un succes peste așteptări, au urmat seri culturale japoneze, seri [...]",EVENIMENT
Școală de vară cu studenți de la Grenoble,"Facultatea de Mecanică a Universității Politehnica Timișoara, prin Departamentul de Ingineria Materialelor și Fabricației, organizează, în perioada 10 &#8211; 21 iunie 2019, cea de-a VI-a ediție a Școlii de vară „Product design and manufacturing”, la care participă 25 de studenți din anul III ai Facultății de Inginerie Industrială de la Institutul Politehnic din Grenoble. În [...]",EVENIMENT
ROB-MEC 2019,"Departamentul de Mecatronică din Facultatea de Mecanică a Universității Politehnica Timișoara organizează, în data de 14.06.2019, ora 12:00, Sesiunea de Comunicări Științifice Studenţeşti –“ROB-MEC 2019” cu secţiunile: A) Sisteme Robotice cu inteligenţă artificială; B) Ingineria Calităţii în Mecatronică; C) Ergoinginerie în Mecatronică. La “ROB-MEC 2019” se pot prezenta lucrări ştiinţifice ale studenţilor masteranzi. Programul detaliat [...]",EVENIMENT
UPT redeschide cursurile CISCO,"Studii realizate la nivel mondial arată că există un decalaj între locurile de muncă din domeniul tehnologiilor informației și comunicațiilor (TIC) și candidații calificați pentru a le ocupa. Programul CISCO Networking Academy (NetAcad) și-a propus să reducă semnificativ acest decalaj, oferind studenților din întreaga lume cursuri de formare a competențelor IT. Aproape 100.000 de studenți [...]",ALTE ANUNȚURI
Comunicări științifice studențești,"Facultatea de Mecanică și Departamentul de Matematică din cadrul Universității Politehnica Timișoara organizează, în data de 19 iunie 2019, de la ora 10:00, în Laboratorul de matematici asistate de calculator 1, et. II, Rectorat, cea de-a VI-a ediție a sesiunii de comunicări științifice studențești, cu tema „Aplicații ale statisticii în sănătate și inginerie”. Evenimentul este [...]",DIDACTIC
TEHNO-MAT 2019,Departamentul de Ingineria Materialelor şi Fabricației (Centrele de cercetare Procesarea şi Caracterizarea Materialelor Avansate şi Inginerie Integrată) din Facultatea de Mecanică a Universității Politehnica Timișoara organizează sesiunea de comunicări studențești „TEHNO-MAT 2019” cu secțiunile: A) Ingineria Materialelor (12 iunie 2019); B) Ingineria Produselor din Materiale Polimerice și Compozite (12 iunie 2019); C) Ingineria Sudării (18 [...],DIDACTIC
"Facultatea de Construcții, în Newsletterul IABSE","Newsletterul pe luna iulie 2019 al presigioasei publicații IABSE (International Association for Bridge and Structural Engineering) prezintă revista „Building Construct” a Facultății de Construcții din cadrul Universității Politehnica Timișoara în termeni laudativi, menționând și organizarea, în cadrul facultății, a concursului studențesc din 22 mai a.c.",ALTE ANUNȚURI
Facultatea de Construcții își onorează profesorii,"Continuând o tradiție instituită în Universitatea Politehnica Timișoara, de a onora profesorii cu realizări deosebite, Facultatea de Construcții organizează vineri, 12 iulie 2019, începând cu ora 12:00, în cadrul ședinței Consiliului facultății, o festivitate de conferire a titlului onorific de Profesor Emerit unor cadre didactice care s-au remarcat printr-o bogată activitate tehnică în domeniul construcțiilor [...]",EVENIMENT
Teză de abilitare,"Joi, 11 Iulie 2019, începând cu ora 10:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Entrepreneurship, education and sustainable management“, elaborată de Conf.dr.ing. Matei Tămășilă. Manifestarea va avea loc la Facultatea de Management în Producție și Transporturi din cadrul Universității Politehnica Timișoara, Strada Remus nr. 14, Sala M018.",EVENIMENT
"Lansarea proiectului Code-PEM, coordonat de UPT","Universitatea Politehnica Timișoara în calitate de coordonator, în colaborare cu partenerul norvegian SINTEF Industries, anunța începerea implementării proiectului EEA-0502-CTR. 2/2019 „Proiectarea combinatorială a unor pelicule inovative pentru plăcile bipolare ale electrolizoarelor cu membrane schimbătoare de protoni- acronim: Code-PEM”. Proiectul este finanţat în cadrul competiţiei 2018 pentru „Proiecte Colaborative de Cercetare”, asociată Mecanismului Financiar SEE (EEA [...]",CERCETARE - COOPERARE
Teză de abilitare,"Joi, 4 iulie 2019, începând cu ora 12:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Cercetări privind analiza și optimizarea regimurilor de funcționare a rețelelor pentru transportul și distribuția energiei electrice “, elaborată de conf.dr.ing. Adrian PANĂ. Manifestarea va avea loc la Departamentul de Electroenergetică, Facultatea de Electrotehnică și Electroenergetică, Timișoara, [...]",EVENIMENT
Termene prelungite pentru SIM 2019,"Termenele limită pentru cel de-al XV-lea Simpozion Internațional de Management (SIM 2019) au fost prelungite. Pentru a participa la conferință, înregistrările se fac aici și apoi prezentați lucrării se face urmând instrucțiunile de aici. Noile termene limită sunt următoarele: Prezentarea lucrării complete 26 mai &#8211; extinsă până la 22 iulie; Propuneri pentru sesiuni speciale 26 [...]",ALTE ANUNȚURI
O provocare pentru studenții la arhitectură,"Studenții de la Facultatea de Arhitectură și Urbanism a Universității Politehnica Timișoara, aflați în anul I master la specializarea „Tendinte, materiale si tehnologii noi în arhitectura de interior”, la disciplina Proiectare (semestrul II), s-au aflat în fața unei provocări: amenajarea unui restaurant cu trei stele Michelin. Scenariul ipotetic considerat propune amenajarea unui restaurant de lux [...]",EVENIMENT
"Competiții lansate de Unitatea Executivă pentru Finanțarea Învățământului Superior, a Cercetării, Dezvoltării și Inovării (UEFISCDI)","Proiect experimental demonstrativ (PED) Bugetul alocat prezentei competiţii este de 60.000.000 lei. Informaţiile referitoare la Competiţia PED, pot fi accesate aici. Termenul limită de transmitere a propunerilor de proiecte este 11 octombrie 2019, ora 16:00. Transfer la operatorul economic (PTE)  Bugetul alocat prezentei competiţii este de 50.000.000 lei. Informaţiile referitoare la Competiţia PTE, pot fi accesate [...]",CERCETARE - COOPERARE
KNOW TO DEVELOP,"Universitatea Politehnica Timișoara, în calitate de coordinator și în colaborare cu partenerul sârb Liceul „NIKOLA TESLA” din Vrsac, anunță începerea implementării proiectului RORS 394 „Through knowledge to business and smart development of Banat”, acronim: KNOW TO DEVELOP. Proiectul este finanţat în cadrul competiţiei 2018 Interreg-IPA Cross-border Cooperation Programme Romania-Serbia, 2014-2020, încheiat între România și Serbia [...]",EVENIMENT
Asigură-ți Viitorul prin Educație și Antreprenoriat – AVEA,"În data de 27.09.2019, începând cu ora 12.00, la Biblioteca Universității Politehnica Timișoara, Amfiteatrul K2, B-dul V. Pârvan nr. 2B, Timișoara va avea loc lansarea proiectului: Asigură-ți Viitorul prin Educație și Antreprenoriat – AVEA. Universitatea Politehnica Timișoara, în colaborare cu partenerul Asociația Danke, este beneficiarul unui proiect de sprijinire a studenților din anii terminali pentru [...]",EVENIMENT
Workshop transfrontalier NETMIN,"Universitatea Politehnica Timișoara (România) și Institutul de Minerit și Metalurgie Bor (Serbia) au lansat proiectul NETMIN de creare a rețelei de educație și cercetare, care să acționeze pentru sporirea măsurilor de protecția mediului și utilizare durabilă a resurselor naturale în zona transfrontalieră româno-sârbă. Joi, 26 septembrie a.c. cu începere de la ora 10:00 se va [...]",EVENIMENT
Noutăți în măsurarea tridimensională,"Departamentul de Ingineria Materialelor şi Fabricaţiei (IMF) din cadrul Facultății de Mecanică a Universității Politehnica Timișoara, organizează, marţi, 17 septembrie 2019, între orele 9:00-17:00, în amfiteatrul K1 din Centrul de Conferințe al UPT / Laboratorul de Măsurări Tridimensionale, împreună cu compania Hexagon Manufacturing Intelligence, workshop-ul „Calitatea conduce productivitatea &#8211; noutăți PC-DMIS și Q-DAS la măsurarea tridimensională”. [...]",EVENIMENT
Competiții în cadrul  Mecanismului Financiar SEE 2014 – 2021,Apel pentru proiecte de mobilități România – Norvegia Apelul finanțează Stabilirea de parteneriate între cercetătorii din Statele Donatoare (exclusiv Norvegia) și România în vederea dezvoltării de proiecte colaborative de cercetare. Depunerea este continuă până la data de 20 noiembrie 2019 sau până la epuizarea fondurilor alocate (90000 euro). Mai multe informații referitoare la acest apel [...],CERCETARE - COOPERARE
